일시,지점,일최저체감온도,일최고기온,일평균기온,일최저기온,일평균상대습도,일평균풍속,일최대풍속,한파특보,한파영향예보,동파가능지수3h
2021-01-01,임실(244),-14.4,0.8,-5.8,-13.2,86.9,0.6,2.5,X, ,보통
2021-01-01,정읍(245),-10.5,2.9,-2.4,-8.2,79.1,1.1,3.3,X, ,낮음
2021-01-01,남원(247),-14.5,2.2,-3.9,-10.3,83.9,1.4,4,X, ,보통
2021-01-01,장수(248),-15.2,-1.2,-5.8,-13.9,82.8,1.2,3.6,X,관심,보통
2021-01-01,영광군(252),-8.6,4.7,-0.9,-6,76.3,1.1,4.1,X, ,낮음
2021-01-01,김해시(253),-8.8,4.5,-1.3,-6.6,57.3,1.7,4.4,X,관심,낮음
2021-01-01,순창군(254),-15.5,1.9,-3.8,-10.5,90,1,4.8,X, ,보통
2021-01-01,양산시(257),-9.3,4.8,-0.2,-6,59,1.8,4.5,X,관심,낮음
2021-01-01,강진군(259),-6.8,4.9,0.1,-4.7,73.1,1.4,5.8,X,관심,낮음
2021-01-01,장흥(260),-6.6,4,-0.9,-5.4,77.4,1,3.7,X,관심,낮음
2021-01-01,해남(261),-7.9,4.2,-0.6,-5,76.9,1.4,5.6,X,관심,낮음
2021-01-01,고흥(262),-7.7,4.2,-0.2,-5.1,68.8,1.2,3.7,X,관심,낮음
2021-01-01,의령군(263),-12,4.5,-2.4,-8.9,72.5,1.3,4.8,X,관심,보통
2021-01-01,함양군(264),-11.5,2.7,-2.8,-10.8,70.1,1.5,5,X, ,낮음
2021-01-01,진도군ASOS(268),-5.2,5.3,1.9,-0.9,71.6,1.9,4.6,X, ,낮음
2021-01-01,봉화(271),-17.9,-0.2,-5.8,-13.7,61.9,1.3,4.2,주의보,주의,높음
2021-01-01,영주(272),-16.3,0.5,-3.8,-10,57.6,4.2,7.9,주의보,주의,보통
2021-01-01,문경(273),-14.1,0.9,-3.7,-9.5,65,2.1,3.9,주의보,주의,보통
2021-01-01,청송군(276),-17.1,-0.6,-4.9,-12.4,65,2.5,5.5,주의보,주의,보통
2021-01-01,영덕(277),-13.9,2.8,-2.5,-8.1,52.9,2.3,7.9,X,관심,보통
2021-01-01,의성(278),-15.4,0.7,-5.9,-14.3,81.4,0.5,2.8,주의보,주의,보통
2021-01-01,구미(279),-8.6,1.5,-2.8,-8,74.4,0.5,1.9,X, ,보통
2021-01-01,영천(281),-11.7,2.6,-2.7,-9,69.8,1.7,3.9,X,관심,보통
2021-01-01,경주시(283),-15.5,3.3,-2.3,-9.1,60.4,2.5,5.7,X,관심,보통
2021-01-01,거창(284),-11.6,1.9,-2.8,-10.5,66.6,1.4,4.3,X, ,보통
2021-01-01,합천(285),-10,4.2,-2.6,-8.8,76.8,0.8,3,X, ,보통
2021-01-01,밀양(288),-8.4,4.3,-2.8,-8.7,66.1,0.4,2.8,X,관심,보통
2021-01-01,산청(289),-10,4,-1.4,-6.9,60.1,2.5,6.7,X, ,낮음
2021-01-01,거제(294),-5.6,4.4,0.7,-4.3,57.4,1.5,3.8,X, ,낮음
2021-01-01,남해(295),-5.8,4.1,0.7,-2.2,62.5,1.6,3.5,X, ,낮음
2021-01-01,부천(433),-10.9,0.5,-3.4,-8.5,,0.8,1.9,X,관심,보통
2021-01-01,안양(434),-10.9,0.7,-3,-7.5,,1.3,3.5,X,관심,보통
2021-01-01,광명(437),-10.7,0.9,-3.1,-8,,1.1,2.7,X,관심,보통
2021-01-01,군포(438),-11.5,1.2,-3.6,-8.2,,1,2.8,X,관심,보통
2021-01-01,김포(441),-12.1,1.1,-3.8,-9.9,,1,3.2,주의보,주의,보통
2021-01-01,하남(444),-13.8,-0.1,-5.5,-12.2,,0.4,1.2,주의보,주의,보통
2021-01-01,의왕(445),-13,-0.3,-5.4,-12.1,,0.7,2.1,X,관심,보통
2021-01-01,포천(504),-19.6,0.1,-7,-14.8,64,1.6,4.5,경보,경고,높음
2021-01-01,가평조종(505),-19.1,-0.2,-6.8,-15.5,62,1.3,4.3,경보,경고,높음
2021-01-01,안성(516),-15.4,-0.1,-5.7,-12.3,86,0.7,2.9,주의보,주의,보통
2021-01-01,간성(517),-13.5,2.8,-2.3,-9.6,27,2,4.2,X,관심,보통
2021-01-01,평창(526),-18.6,0.1,-8,-15.3,60,1,4.9,경보,경고,높음
2021-01-01,의정부(532),-16.4,0.3,-5.7,-13.1,67,0.9,3,주의보,주의,보통
2021-01-01,횡성(536),-19,-0.1,-8.1,-15.2,80,1.2,3.8,경보,경고,높음
2021-01-01,고양(540),-15.6,1.8,-5.5,-12.8,65,0.8,3.5,주의보,주의,보통
2021-01-01,남양주(541),-15.8,1.8,-5.1,-11.9,59,1.1,3.5,주의보,주의,보통
2021-01-01,안산(545),-14.8,1.5,-5.3,-13.2,81,0.4,2.1,X,관심,보통
2021-01-01,경기광주(546),-16.9,0.9,-6,-12.9,68,0.9,2.6,주의보,주의,보통
2021-01-01,여주(548),-16.8,0,-6,-12.5,80,1.1,2.8,주의보,주의,보통
2021-01-01,용인(549),-14.5,1.2,-5,-11.2,72,1,2.8,주의보,주의,보통
2021-01-01,오산(550),-13.3,0.2,-4.6,-10.8,71,1,2.8,X,관심,보통
2021-01-01,평택(551),-15.2,0,-5.2,-12,93,0.9,2.3,X,관심,보통
2021-01-01,화천(555),-19.9,0.7,-7.5,-14.8,61,1.2,5,경보,경고,높음
2021-01-01,양구(556),-20.1,0.1,-6.8,-16.1,46,1.5,4.3,경보,경고,높음
2021-01-01,시흥(565),-16.3,1.5,-5,-12,71,1.1,2.7,X,관심,보통
2021-01-01,구리(569),-14.7,1.3,-4.8,-11.6,59,1.3,3.4,주의보,주의,보통
2021-01-01,화성(571),-13.8,0.1,-4.2,-10.1,71,0.9,3.3,X,관심,보통
2021-01-01,성남(572),-11.9,0.7,-4.5,-11,56,0.5,1.8,X,관심,보통
2021-01-01,과천(590),-14.7,1.5,-4.7,-11.8,70,1.1,2.6,X,관심,보통
2021-01-01,양주(598),-18.8,0.4,-7.3,-14.4,67,1.1,4.9,경보,경고,보통
2021-01-01,단양(601),-14,-0.4,-5.1,-11.6,71,0.8,2.1,주의보,주의,보통
2021-01-01,진천(602),-15.9,-1.2,-5.9,-12.5,87,1.1,3.3,주의보,주의,보통
2021-01-01,괴산(603),-16.9,-1.2,-7.1,-14.8,80,0.6,2.2,주의보,주의,보통
2021-01-01,옥천(604),-13.2,-1.7,-5.7,-12.3,89,0.3,1.1,X,관심,보통
2021-01-01,홍북(608),-12.1,-1.5,-4.9,-10.2,99,0.4,1.8,X, ,낮음
2021-01-01,공주(612),-15.1,-2.2,-6.6,-13.1,90,0.4,1.1,X,관심,보통
2021-01-01,서천(614),-13.8,0.7,-4.9,-12.3,92,1.1,2.9,X, ,낮음
2021-01-01,논산(615),-15,-0.5,-6,-11.5,89,0.1,1.8,X, ,보통
2021-01-01,당진(616),-12.3,-0.1,-4.2,-9.3,91,0.7,2.3,X, ,낮음
2021-01-01,청양(618),-13.5,-2.4,-6.6,-14.2,90,0.2,1.1,X,관심,보통
2021-01-01,음성(619),-18,-2.3,-7.7,-14.5,85,1.6,4.7,주의보,주의,보통
2021-01-01,증평(623),-14.2,-2.8,-6.5,-12.6,90,0.4,1.6,X,관심,보통
2021-01-01,태안(627),-9.9,-1.2,-3.7,-6.9,93,0.8,2.1,X, ,낮음
2021-01-01,예산(628),-13.3,0,-4.4,-10.3,89,0.9,2.4,X, ,보통
2021-01-01,아산(634),-15.4,-1.2,-5.1,-10.9,94,1.2,2.6,X, ,보통
2021-01-01,계룡(636),-17.2,-1.2,-6.7,-15.4,87,0.5,1.8,주의보,주의,보통
2021-01-01,연천청산(652),-18.4,0.5,-6.8,-13.5,65,1.1,3.6,경보,경고,높음
2021-01-01,양양(670),-14.7,2.1,-2.1,-6.7,34,3.9,6.2,X,관심,보통
2021-01-01,무안(699),-9,4.7,-0.3,-4.7,80,1.8,4.4,X, ,낮음
2021-01-01,무주(701),-13.5,1,-4.5,-11.5,81,0.8,2.5,X, ,보통
2021-01-01,익산(702),-13.1,3.9,-3.3,-11.2,86,0.7,2.8,X, ,낮음
2021-01-01,진안(703),-16,-1.1,-6.3,-14.4,82,1.5,3.6,X, ,보통
2021-01-01,담양(706),-11.8,2.8,-2.2,-9.5,92,1.2,3.4,X, ,낮음
2021-01-01,구례(709),-9.8,4.8,-0.4,-4.9,73,1.7,4.1,X, ,낮음
2021-01-01,나주(710),-10.2,3.8,-1.6,-7.4,85,1.3,3.9,X, ,낮음
2021-01-01,순천시(712),-7,4.7,-0.5,-4.7,65,1.6,4.9,X, ,낮음
2021-01-01,광양읍(713),-8,5.7,-0.3,-4.2,73,1.5,4.3,X, ,낮음
2021-01-01,장성(730),-8.4,2.6,-1.8,-7.9,88,0.8,2.7,X, ,낮음
2021-01-01,영암(731),-10.7,4.5,-1.1,-7.1,86,1,4.2,X, ,낮음
2021-01-01,보성(732),-9,3,-2.8,-7.7,81,0.9,3.6,X,관심,낮음
2021-01-01,완주(734),-12.6,3.5,-3,-9,83,1.4,5,X, ,낮음
2021-01-01,김제(737),-12.8,3.3,-2.2,-8.4,74,2.4,5.2,X, ,낮음
2021-01-01,화순(741),-8.6,2.8,-1.7,-6.6,78,1.3,4.2,X, ,낮음
2021-01-01,함평(754),-8.5,4.4,-0.9,-6.2,87,1.4,5.4,X, ,낮음
2021-01-01,곡성(768),-11.2,3.4,-3.1,-9.1,80,0.9,3.1,X, ,보통
2021-01-01,압해도(789),-6.6,4.8,1.7,-3.2,69,3.3,7.4,X, ,낮음
2021-01-01,영양(801),-15.7,0.7,-4.8,-12.8,66,2.1,4.9,주의보,주의,높음
2021-01-01,성주(810),-12.7,2.3,-3.7,-10,76,0.9,2.5,X,관심,보통
2021-01-01,고령(812),-12.1,2.9,-4.3,-11.1,76,0.7,2.4,X,관심,보통
2021-01-01,청도(813),-13.3,3.4,-3.8,-10.1,69,1.3,4.4,X,관심,보통
2021-01-01,예천(815),-15,1.1,-3.7,-11.5,61,1.5,4.3,주의보,주의,보통
2021-01-01,김천(822),-12.6,0.2,-4.1,-10.6,77,1.2,3.6,X,관심,보통
2021-01-01,군위(823),-15.1,-0.6,-5.5,-12.1,87,0.6,3.4,주의보,주의,보통
2021-01-01,칠곡(825),-10.7,1.9,-2.5,-7.9,78,1.2,3.4,X, ,보통
2021-01-01,경산(827),-9.9,3,-2.3,-6.9,58,1,4.4,X, ,낮음
2021-01-01,삼척(876),-11.4,4.4,-1.4,-6.9,29,1.6,4.1,X,관심,낮음
2021-01-01,속초(90),-13.6,1.2,-2.9,-7.7,27.6,2.2,5.2,X,관심,보통
2021-01-01,삼천포(907),-6.8,4.7,0.6,-4.4,60,2.7,6.4,X, ,낮음
2021-01-01,고성(918),-11.2,3.7,-1.9,-8,65,1.8,5.9,X,관심,낮음
2021-01-01,창녕(919),-11.1,4.3,-2.9,-9.6,70,1.1,4.5,X,관심,보통
2021-01-01,함안(920),-13,3.4,-3.5,-10,78,1.2,3.2,X,관심,낮음
2021-01-01,북춘천(93),-20.2,0.4,-6.8,-15.3,55.8,1.1,5,경보,경고,높음
2021-01-01,하동(932),-8.6,4.4,-0.1,-6,65,1.4,4.5,X,관심,낮음
2021-01-01,철원(95),-19.7,-1,-7.8,-15.9,58.8,1,3,경보,경고,높음
2021-01-01,동두천(98),-15.8,0.8,-6.3,-13.8,67.5,1.1,4.9,경보,경고,보통
2021-01-01,파주(99),-17.7,0.2,-7.4,-14.9,74.4,0.8,3,경보,경고,보통
2021-01-02,북강릉(104),-10.4,2.1,-2.7,-7.2,26.9,1.5,4.2,X,관심,낮음
2021-01-02,동해(106),-7.1,2.8,-0.7,-3.3,24.6,2.4,4.6,X,관심,낮음
2021-01-02,서울(108),-13.2,-1.4,-5,-8.4,38.5,2.6,5.4,X,관심,낮음
2021-01-02,인천(112),-14.3,-1.9,-4.7,-7.4,38,4.2,6.8,X,관심,보통
2021-01-02,원주(114),-10.1,-0.7,-4.9,-9,53.4,1,3.8,주의보,주의,보통
2021-01-02,울릉도(115),-8.2,2.3,-0.6,-1.9,72.6,3.3,9.1,X, ,낮음
2021-01-02,수원(119),-10.8,-0.8,-4.5,-8.4,47.8,2.3,5,X,관심,낮음
2021-01-02,영월(121),-9.1,-0.1,-4.2,-8.7,50.5,1.2,3.7,주의보,주의,보통
2021-01-02,충주(127),-12.5,-0.5,-6.1,-10.7,60.1,1.5,4.4,주의보,주의,보통
2021-01-02,서산(129),-10.7,0.2,-4.3,-10.1,69.9,1.5,5.5,X,관심,낮음
2021-01-02,울진(130),-11.8,4,-1.7,-7.4,38.4,2.4,4.7,X,관심,낮음
2021-01-02,청주(131),-9,-0.5,-4.4,-8.2,64.5,1,3.3,주의보, ,낮음
2021-01-02,대전(133),-8.8,1.4,-3.5,-7.1,67.5,1.2,4.3,X,관심,낮음
2021-01-02,추풍령(135),-12.8,-1.8,-3.9,-5.8,52.4,4.3,8.5,X, ,낮음
2021-01-02,안동(136),-12,1,-3.7,-8.2,48.1,2.3,5.3,주의보,관심,보통
2021-01-02,상주(137),-10.9,0.5,-3.1,-5.5,56.5,2.1,4.4,X, ,낮음
2021-01-02,포항(138),-8.1,3.1,-0.4,-3,44.3,2.6,5.3,X, ,낮음
2021-01-02,군산(140),-6.9,1.5,-1.7,-5.3,65.6,1.4,5.6,X, ,낮음
2021-01-02,대구(143),-8.2,2.1,-0.9,-3.7,50.9,3.1,9.2,X, ,낮음
2021-01-02,전주(146),-7.1,1.3,-1.3,-3.6,57.8,2,5.4,X, ,낮음
2021-01-02,울산(152),-6.6,3.1,-0.1,-2.9,44.8,2.3,4.6,X, ,낮음
2021-01-02,창원(155),-4.9,4,-0.5,-3.6,47.6,1.3,4.8,X, ,낮음
2021-01-02,광주(156),-7.1,2.6,-0.3,-3.2,67.8,1.7,4.4,X, ,낮음
2021-01-02,부산(159),-6.2,5,1.3,-1.6,41.4,2.5,5,X, ,낮음
2021-01-02,통영(162),-5.3,6.9,1.7,-1.5,57.1,2.2,5.2,X, ,낮음
2021-01-02,목포(165),-5.9,3.5,0.4,-1.9,69.8,3.4,8.4,X, ,낮음
2021-01-02,여수(168),-8.3,4.9,1.3,-1.5,53.8,4.6,10.5,X, ,낮음
2021-01-02,흑산도(169),-5.2,5.4,3.2,0.8,71.5,6.5,10.3,X, ,낮음
2021-01-02,완도(170),-4.1,5.5,2.3,-2,63.8,2.3,5.9,X, ,낮음
2021-01-02,고창(172),-10.4,-0.1,-2.2,-5.7,73.3,3.6,6.7,X, ,낮음
2021-01-02,제주(184),-1.2,8.4,5.9,2.8,56.4,4.3,6.4,X, ,낮음
2021-01-02,진주(192),-6.7,5.6,-0.4,-4.6,56.5,1.2,4.3,X, ,낮음
2021-01-02,양평(202),-10.9,0,-3.5,-7,34.5,2.1,4.7,주의보,주의,보통
2021-01-02,이천(203),-11,0.1,-4.2,-8,42.8,1.3,4,주의보,주의,낮음
2021-01-02,인제(211),-12.6,-0.9,-5.8,-12.1,37.1,1.9,4.7,경보,경고,보통
2021-01-02,홍천(212),-16,-0.9,-5.8,-11.5,43.4,1.3,4.3,경보,경고,보통
2021-01-02,태백(216),-13.9,-2.9,-6.6,-10.2,38.3,1.3,3.2,주의보,주의,보통
2021-01-02,정선군(217),-12.4,-0.5,-4.5,-7.3,32.9,2.4,5.7,주의보,주의,보통
2021-01-02,제천(221),-13.3,-1.4,-5.7,-11.3,53.8,1.9,5.6,주의보,주의,보통
2021-01-02,보은(226),-13.2,-0.8,-6.3,-12.4,70.5,1.1,3.9,주의보,관심,보통
2021-01-02,천안(232),-11.6,-0.6,-6.2,-12.3,71.3,1,3.9,주의보,주의,보통
2021-01-02,보령(235),-7.6,0.2,-3.3,-7.5,68.3,1.4,3.7,X,관심,낮음
2021-01-02,부여(236),-9.1,0.9,-4.5,-8.3,77.3,0.9,3.7,X,관심,낮음
2021-01-02,금산(238),-11.3,0.4,-3.5,-8.7,61.8,1.2,4.1,주의보,관심,낮음
2021-01-02,세종(239),-11.2,-0.2,-4.5,-7.8,64.8,1.2,6.1,주의보,관심,낮음
2021-01-02,부안(243),-7.1,1.4,-1.8,-6.2,73.9,1.2,2.6,X, ,낮음
2021-01-02,임실(244),-9.7,0.8,-3.3,-8.6,70,1.1,5,X, ,낮음
2021-01-02,정읍(245),-6.8,0.1,-2.1,-6,67.9,1.4,4.1,X, ,낮음
2021-01-02,남원(247),-10.3,2,-2.1,-6.9,69.9,1.2,3.5,X, ,낮음
2021-01-02,장수(248),-13.4,-0.9,-4.9,-10.4,72.1,1.8,4.6,X, ,낮음
2021-01-02,영광군(252),-5.6,1.5,-1.2,-4.2,70,1.1,5.5,X, ,낮음
2021-01-02,김해시(253),-5.4,4.7,-0.2,-3.2,48.1,1.5,5,X, ,낮음
2021-01-02,순창군(254),-10.4,1.3,-2,-6.7,72.9,1.6,6,X, ,낮음
2021-01-02,양산시(257),-5.3,4.7,0.5,-3.5,52.6,1.8,4.6,X, ,낮음
2021-01-02,강진군(259),-6.5,4.9,0.4,-3,66.4,2.3,6.2,X, ,낮음
2021-01-02,장흥(260),-5.4,4.4,-0.6,-4.6,71,1.7,5.8,X, ,낮음
2021-01-02,해남(261),-6.5,3.9,0.2,-3.7,69.3,2,6.1,X, ,낮음
2021-01-02,고흥(262),-5.7,5.1,-0.3,-4.3,63.9,1.3,5.3,X, ,낮음
2021-01-02,의령군(263),-9.4,5.8,-1,-6.6,62.6,1.8,6.6,X, ,낮음
2021-01-02,함양군(264),-8.5,3,-0.9,-6.4,52.4,1.7,5.4,X, ,낮음
2021-01-02,진도군ASOS(268),-6.5,5.3,1.8,-3.1,73.3,2.8,6.2,X, ,낮음
2021-01-02,봉화(271),-13.9,-0.6,-5.5,-11.1,49.6,1.7,6.5,주의보,관심,보통
2021-01-02,영주(272),-12.5,-0.9,-3.4,-5.4,42.4,4.8,8.3,주의보,관심,보통
2021-01-02,문경(273),-11.4,-0.1,-3.2,-5.5,42.5,3.4,6.1,X, ,낮음
2021-01-02,청송군(276),-13.9,0.5,-5.2,-11.2,52.9,2.6,6.4,주의보,관심,보통
2021-01-02,영덕(277),-10.3,2.9,-2.1,-7.4,46.8,2.3,6.9,X,관심,낮음
2021-01-02,의성(278),-10.6,1.9,-4.9,-10.1,66.3,1.2,5.4,주의보,관심,보통
2021-01-02,구미(279),-9.2,2,-2.1,-5.5,56,1.2,4,X, ,낮음
2021-01-02,영천(281),-10.2,2.4,-1.9,-7.2,52.5,2.7,6.6,X, ,낮음
2021-01-02,경주시(283),-11.8,2.6,-2.2,-7.1,51,3,8.7,X, ,낮음
2021-01-02,거창(284),-10.6,2.3,-2.6,-7.2,57.1,1.6,6.5,X, ,낮음
2021-01-02,합천(285),-7.4,4.9,-1.4,-6,64.4,0.8,4,X, ,낮음
2021-01-02,밀양(288),-7.1,4.2,-1.4,-5.5,52.8,1,4,X, ,낮음
2021-01-02,산청(289),-8,2.7,-0.6,-3,52.4,2.8,7.2,X, ,낮음
2021-01-02,거제(294),-4,4.8,1,-2.6,58.6,1.1,3.2,X, ,낮음
2021-01-02,남해(295),-4.2,5.6,0.7,-2.7,62.4,1.1,4.5,X, ,낮음
2021-01-02,부천(433),-10.5,-1.3,-4.5,-7.3,,1.1,2.4,X,관심,낮음
2021-01-02,안양(434),-12.3,-1.2,-3.7,-6,,2.7,5.5,X,관심,낮음
2021-01-02,광명(437),-11.4,-1,-4,-6.3,,1.9,4,X,관심,낮음
2021-01-02,군포(438),-10.9,-0.6,-4.1,-6.7,,1.4,4.1,X,관심,낮음
2021-01-02,김포(441),-13.2,-0.8,-4.9,-8.7,,1.8,4.7,주의보,주의,보통
2021-01-02,하남(444),-11,-1.1,-4.8,-9.2,,0.9,1.9,X,관심,낮음
2021-01-02,의왕(445),-11.5,-2.5,-5.7,-10.1,,1.3,3.5,X,관심,보통
2021-01-02,포천(504),-18.1,-1.4,-6.4,-12.9,38,1.8,4.4,경보,경고,보통
2021-01-02,가평조종(505),-16.8,-2.2,-6.5,-12.4,37,2.2,5.8,주의보,주의,보통
2021-01-02,안성(516),-12,0.3,-5.6,-11,63,1.6,6.5,주의보,주의,보통
2021-01-02,간성(517),-10.7,2.5,-2.2,-7.6,17,2.3,5.1,X,관심,낮음
2021-01-02,평창(526),-15.7,-1.5,-6.9,-13,44,1.4,4.9,경보,경고,보통
2021-01-02,의정부(532),-13.1,-1.7,-5.7,-10.1,38,1.4,4.3,주의보,주의,보통
2021-01-02,횡성(536),-15.1,0.3,-7.1,-13.2,64,1.2,4.1,경보,경고,보통
2021-01-02,고양(540),-12.5,-0.7,-6,-11.3,40,1.7,4.9,주의보,주의,보통
2021-01-02,남양주(541),-12.7,0.4,-4.1,-8.6,32,1.9,5.3,X,관심,보통
2021-01-02,안산(545),-11.1,0.5,-4.4,-12,47,1,3,X,관심,낮음
2021-01-02,경기광주(546),-11.3,-0.8,-5.4,-9.6,37,1.1,4,주의보,주의,낮음
2021-01-02,여주(548),-14.1,-0.7,-5.4,-8.7,49,1.7,4.6,주의보,주의,보통
2021-01-02,용인(549),-12.8,0.2,-5,-9.9,47,1.4,4.6,주의보,주의,보통
2021-01-02,오산(550),-10.6,0,-4.8,-8.7,41,1.4,3.8,X,관심,보통
2021-01-02,평택(551),-12,-0.2,-4,-9.3,49,2.1,5.1,X,관심,보통
2021-01-02,화천(555),-17.2,0.3,-7,-12.8,45,1.4,4.1,경보,경고,보통
2021-01-02,양구(556),-18.5,-0.5,-7.3,-14.3,38,1.7,4.2,경보,경고,보통
2021-01-02,시흥(565),-12.6,-0.5,-5,-11.2,44,2,5,X,관심,보통
2021-01-02,구리(569),-12.2,-0.7,-4.4,-7.9,27,1.8,4.2,X,관심,낮음
2021-01-02,화성(571),-9.7,-0.5,-4.2,-9,40,1.2,3,X,관심,낮음
2021-01-02,성남(572),-10.9,-0.9,-4.5,-8.4,29,1.1,3.2,X,관심,낮음
2021-01-02,과천(590),-11.9,-0.4,-4.4,-9.4,43,1.7,3.9,X,관심,낮음
2021-01-02,양주(598),-16.8,-1.9,-7.3,-13.8,45,1.8,4.4,주의보,주의,보통
2021-01-02,단양(601),-11.9,-0.6,-4.9,-8.2,57,1.1,3.4,주의보,관심,보통
2021-01-02,진천(602),-12.6,0,-5.7,-10.3,64,1.7,5.8,주의보,주의,보통
2021-01-02,괴산(603),-14,-0.4,-7.1,-12.6,63,1.2,4.2,주의보,주의,보통
2021-01-02,옥천(604),-10.2,0.3,-4.4,-9.1,69,0.9,3.9,X,관심,낮음
2021-01-02,홍북(608),-11.9,-0.2,-5.1,-9.8,80,1.1,3.7,X,관심,낮음
2021-01-02,공주(612),-12,0.4,-5.4,-10.8,75,0.8,3.1,주의보,관심,보통
2021-01-02,서천(614),-12.5,2,-3.4,-9.6,66,1.1,3.5,X,관심,낮음
2021-01-02,논산(615),-11,1.1,-3.7,-8.2,71,1.3,4.4,X,관심,낮음
2021-01-02,당진(616),-11.8,-1.1,-4.9,-10.2,69,1.4,4.7,X,관심,낮음
